level1,level2,matchphrase
Floral,Black tea,black tea
Fruity,Berry,berry;berries;strawberries;blueberries;cranberry;cranberries;black currant;black currants;
Fruity,Dried fruit,dried fruit
Fruity,Other fruit,other fruit;tropic;tropical;coconut;cherry;pomegranate;pineapple;grape;apple;plum;passion fruit;papaya;mango;apricot;melon;peach;pear
Fruity,Citrus fruit,citrus fruit;citrus;grapefruit;orange;lemon;tangerine;mandarin;lime
Sour / fermented,Sour,sour;acid;acidic;tartaric
Sour / fermented,Alcohol / fermented,alcohol;fermented
Green / vegetative,Olive oil,olive oil
Green / vegetative,Raw,raw
Green / vegetative,Green / vegetative,green;vegetative
Green / vegetative,Beany,beany
Other,Papery / musty,papery;musty
Other,Chemical,chemical
Roasted,Pipe tobacco,pipe tobacco
Roasted,Tobacco,tobacco
Roasted,Burnt,burnt
Roasted,Cereal,cereal
Spices,Pungent,pungent
Spices,Pepper,pepper
Spices,Brown spice,brown spice
Nutty / cocoa,Nutty,nutty
Nutty / cocoa,Cocoa,cocoa
Sweet,Brown sugar,brown sugar;sugar;toffee
Sweet,Vanilla,vanilla
Sweet,Vanillin,vanillin
Sweet,Overall sweet,overall sweet
Sweet,Sweet aromatics,sweet aromatics
